SKU1,CODIGO2,TIPO3,MULTIPLO4,DESCRIPCION5,EXISTENCIA6,UM7,COSTO_PROMEDIO8
0,7501130586202,B,100,COLECTIVA 100 CRAYONES BOLSA C/100 DELGADO   AMAPOLA,#N/D,#N/D,#N/D
2170680064,7501130586219,B,100,COLECTIVA 100 CRAYONES BOLSA C/100 DELGADO   ROJO FUEGO,4875,PZ,0.22282
2170680072,7501130586226,B,100,COLECTIVA 100 CRAYONES BOLSA C/100 DELGADO   AZUL MARINO,1950,PZ,0.22074
0,7501130586233,B,100,COLECTIVA 100 CRAYONES BOLSA C/100 DELGADO   AZUL OSCURO,#N/D,#N/D,#N/D
0,7501130586240,B,100,COLECTIVA 100 CRAYONES BOLSA C/100 DELGADO   AÑIL,#N/D,#N/D,#N/D
0,7501130586257,B,100,COLECTIVA 100 CRAYONES BOLSA C/100 DELGADO   JADE,#N/D,#N/D,#N/D
0,7501130586264,B,100,COLECTIVA 100 CRAYONES BOLSA C/100 DELGADO   LIMA,#N/D,#N/D,#N/D
0,7501130586271,B,100,COLECTIVA 100 CRAYONES BOLSA C/100 DELGADO   VERDE MAR,#N/D,#N/D,#N/D
0,7501130586288,B,100,COLECTIVA 100 CRAYONES BOLSA C/100 DELGADO   CAFÉ OSCURO,#N/D,#N/D,#N/D
0,7501130586295,B,100,COLECTIVA 100 CRAYONES BOLSA C/100 DELGADO   CAOBA,#N/D,#N/D,#N/D
0,7501130586301,B,100,COLECTIVA 100 CRAYONES BOLSA C/100 DELGADO   AZUL CIELO,#N/D,#N/D,#N/D
0,7501130586318,B,100,COLECTIVA 100 CRAYONES BOLSA C/100 DELGADO   ORO,#N/D,#N/D,#N/D
2170680161,7501130586325,B,100,COLECTIVA 100 CRAYONES BOLSA C/100 DELGADO   PURPURA,10070,PZ,0.194
0,7501130586332,B,100,COLECTIVA 100 CRAYONES BOLSA C/100 DELGADO   MAGENTA,#N/D,#N/D,#N/D
0,7501130584154,B,0,COLECTIVA  CRAYÓN GIRATORIO C/12   VARIOS,#N/D,#N/D,#N/D
2170710002,7501130582211,B,10,COLECTIVA 10 MARCADOR DE CERA CAJITA C/10  2 BLANCO,48,PZ,45.17653
2170710003,7501130582228,B,10,COLECTIVA 10 MARCADOR DE CERA CAJITA C/10  3 ROJO,119,PZ,45
2170710004,7501130582235,B,10,COLECTIVA 10 MARCADOR DE CERA CAJITA C/10  4 NEGRO,100,PZ,45
2170710005,7501130583102,B,10,COLECTIVA 10 MARCADOR DE CERA CAJITA C/10  5 AMARILLO,123,PZ,45
2170610000,27501130540017,B,12,COLECTIVA 12 ACUARELA C/12 PASTILLAS CARTÓN   VARIOS,17385,PZ,2.47201
2170620000,27501130540031,B,12,COLECTIVA 12 ACUARELA C/12 PASTILLAS BLISTER   VARIOS,2523,PZ,4.63106
0,7501130525355,B,10,"COLECTIVA 10 TEMPERA CAJA C/10 FRASCOS DE 20 ML C/UNO   VARIOS (AMARILLO, AZUL MAR, BLANCO, CAFÉ, MELÓN, NEGRO, ROJO, ROSA JUVENIL, VERDE BANDERA Y VIOLETA)",#N/D,#N/D,#N/D
2170329114,7501130585984,B,10,COLECTIVA 10 TEMPERA CAJA C/10 FRASCOS DE 20 ML C/UNO   ,759,PZ,2.08812
2170329089,7501130585946,B,10,COLECTIVA 10 TEMPERA CAJA C/10 FRASCOS DE 20 ML C/UNO   ,468,PZ,1.78665
2170329010,17501130585912,B,10,COLECTIVA 10 TEMPERA CAJA C/10 FRASCOS DE 20 ML C/UNO   ,548,PZ,2.26148
2170329060,17501130585936,B,10,COLECTIVA 10 TEMPERA CAJA C/10 FRASCOS DE 20 ML C/UNO   ,730,PZ,2.34827
2170329040,7501130589258,B,10,COLECTIVA 10 TEMPERA CAJA C/10 FRASCOS DE 20 ML C/UNO   ,197,PZ,1.6869
2170329100,17501130585950,B,10,COLECTIVA 10 TEMPERA CAJA C/10 FRASCOS DE 20 ML C/UNO   ,594,PZ,2.26609
2170329020,17501130585974,B,10,COLECTIVA 10 TEMPERA CAJA C/10 FRASCOS DE 20 ML C/UNO   ,355,PZ,1.81485
2170329057,17501130585929,B,10,COLECTIVA 10 TEMPERA CAJA C/10 FRASCOS DE 20 ML C/UNO   ,228,PZ,1.62351
2170329035,17501130586001,B,10,COLECTIVA 10 TEMPERA CAJA C/10 FRASCOS DE 20 ML C/UNO   ,350,PZ,2.11803
2170329050,17501130585998,B,10,COLECTIVA 10 TEMPERA CAJA C/10 FRASCOS DE 20 ML C/UNO   ,1211,PZ,0.89099
2170329160,17501130585967,B,10,COLECTIVA 10 TEMPERA CAJA C/10 FRASCOS DE 20 ML C/UNO   ,371,PZ,3.45668
2170320000FG,27501130563016,B,10,COLECTIVA 10 PEGAMENTO BLANCO COLORCITOS 30G   BLANCO,0,PZ,0
2170360000FG,27501130563023,B,10,COLECTIVA 10 PEGAMENTO BLANCO COLORCITOS 60G   BLANCO,0,PZ,3.20479
1321570060,7501130585335,B,3,COLECTIVA 3 VELA ESPIRAL 3 PACK   ROJO,0,PZ,1.06
1321570010,7501130585342,B,3,COLECTIVA 3 VELA ESPIRAL 3 PACK   BLANCO,180,PZ,5.92922
1321570037,7501130585359,B,3,COLECTIVA 3 VELA ESPIRAL 3 PACK   CREMA,176,PZ,6.11716
1321570130,7501130585366,B,3,COLECTIVA 3 VELA ESPIRAL 3 PACK   ORO,155,PZ,10.98439
1321570138,7501130585373,B,3,COLECTIVA 3 VELA ESPIRAL 3 PACK   PLATA,156,PZ,9.43404
1321570140,7501130585380,B,3,COLECTIVA 3 VELA ESPIRAL 3 PACK   ROJO METALICO,0,PZ,23.72
1321570132,7501130589180,B,3,COLECTIVA 3 VELA ESPIRAL 3 PACK   COBRE,0,PZ,0
2329000040,17501130518408,B,80,COLECTIVA 80 AROMA MANZANA VERDE 8ML MANZANA VERDE  ,352,PZ,3.58071
2329000041,17501130518415,B,80,COLECTIVA 80 AROMA MORA AZUL 8ML MORA AZUL  ,431,PZ,3.33414
2329000042,17501130518460,B,80,COLECTIVA 80 AROMA VAINILLA 8ML VAINILLA  ,440,PZ,3.9037
2329000045,17501130522535,B,80,COLECTIVA 80 AROMA CANELA CANELA  ,544,PZ,3.91753
2329000071,17501130582164,B,80,COLECTIVA 80 AROMA ROSA DE MAÑANA 8ML ROSA DE LA MAÑANA  ,203,PZ,4.09224
2329000073,17501130524904,B,80,COLECTIVA 80 AROMA ROCIO SEDUCTOR 8ML ROCIO SEDUCTOR  ,377,PZ,3.43342
2329000077,17501130582188,B,80,COLECTIVA 80 AROMA LAVANDA 8ML LAVANDA  ,310,PZ,3.56218
2329000080,17501130588456,B,80,COLECTIVA 80 AROMA CEREZA 8ML CEREZA  ,232,PZ,3.17194
2329000081,17501130588463,B,80,COLECTIVA 80 AROMA MANZANA CANELA 8ML MANZANA CANELA  ,252,PZ,2.81781
2329000082,17501130588470,B,80,COLECTIVA 80 AROMA MENTA 8ML MENTA  ,236,PZ,4.23698
2329000083,17501130588487,B,80,COLECTIVA 80 AROMA VIOLETA 8ML VIOLETA  ,213,PZ,4.09475
2329000084,17501130588494,B,80,COLECTIVA 80 AROMA SÁNDALO 8ML SANDALO  ,186,PZ,6.25177
2329000079,17501130584366,B,80,COLECTIVA 80 AROMA GARDENIA GARDENIA  ,26,PZ,3.065
0,7501130579860,B,12,COLECTIVA 12 CIRIO S/BAÑO 4.7 X 11 CM (1) SIN AROMA  VERDE LIMON,#N/D,#N/D,#N/D
0,7501130579808,B,12,COLECTIVA 12 CIRIO S/BAÑO 4.7X6 CM (1/2) SIN AROMA  TURQUESA,#N/D,#N/D,#N/D
0,7501130579815,B,12,COLECTIVA 12 CIRIO S/BAÑO 4.7X6 CM (1/2) SIN AROMA  FIUSHA,#N/D,#N/D,#N/D
0,7501130579822,B,12,COLECTIVA 12 CIRIO S/BAÑO 4.7X6 CM (1/2) SIN AROMA  VERDE LIMON,#N/D,#N/D,#N/D
0,7501130578078,B,12,COLECTIVA 12 CIRIO S/BAÑO 4.7X6 CM (1/2) SIN AROMA  MORADO,#N/D,#N/D,#N/D
0,7501130579846,B,12,COLECTIVA 12 CIRIO S/BAÑO 4.7 X 11 CM (1) SIN AROMA  TURQUESA,#N/D,#N/D,#N/D
0,17501130579775,B,12,COLECTIVA 12 CIRIO S/BAÑO 4.7 X 11 CM (1) SIN AROMA  FIUSHA,#N/D,#N/D,#N/D
0,17501130579799,B,12,COLECTIVA 12 CIRIO S/BAÑO 4.7 X 11 CM (1) SIN AROMA  NARANJA,#N/D,#N/D,#N/D
0,17501130585554,B,12,COLECTIVA 12 CIRIO S/BAÑO 4.7 X 11 CM (1) SIN AROMA  MORADO,#N/D,#N/D,#N/D
0,17501130585653,B,12,COLECTIVA 12 CIRIO S/BAÑO 4.7 X 11 CM (1) SIN AROMA  DURAZNO,#N/D,#N/D,#N/D
0,17501130588678,B,12,COLECTIVA 12 CIRIO S/BAÑO 4.7 X 11 CM (1) SIN AROMA  AZUL CLARO,#N/D,#N/D,#N/D
1321570005,7506305159571,B,5,COLECTIVA 5 VELA ESPIRAL CAJA C/5 ADVIENTO CORTA SN   VARIOS,-2170,PZ,6.25529
2020020001,7501130516568,B,10,COLECTIVA 10 COLORANTE CITOCOL SOBRE 20G --- 1 NEGRO,11665.0041,PZ,3.63837
GEL1001MED,17501130589750,B,15,COLECTIVA 15 GEL ANTIBACTERIAL 120ML   ,0,PZ,8.28682
0,27501130589757,B,--,COLECTIVA -- GEL ANTIBACTERIAL 480ML   ,#N/D,#N/D,#N/D
2010010601,7501130510016,C,1, COLORANTE MARIPOSA PASTILLA 32 GRS --- 601 NEGRO,184221.99,PZ,1.20688
2010010602,7501130514199,C,1, COLORANTE MARIPOSA PASTILLA 32 GRS --- 602 NEGRO MEZCLILLA,19121,PZ,1.65325
2010010604,7501130510023,C,1, COLORANTE MARIPOSA PASTILLA 32 GRS --- 604 ROJO ESCARLATA,13269,PZ,1.58205
2010010605,7501130510030,C,1, COLORANTE MARIPOSA PASTILLA 32 GRS --- 605 ROJO OSCURO,8928,PZ,1.67226
2010010606,7501130510047,C,1, COLORANTE MARIPOSA PASTILLA 32 GRS --- 606 AZUL MARINO,105543,PZ,1.66942
2010010608,7501130510061,C,1, COLORANTE MARIPOSA PASTILLA 32 GRS --- 608 GRIS OSCURO,7493,PZ,1.21214
2010010610,7501130510078,C,1, COLORANTE MARIPOSA PASTILLA 32 GRS --- 610 VERDE OSCURO,11059.99,PZ,1.39257
2010010611,7501130510085,C,1, COLORANTE MARIPOSA PASTILLA 32 GRS --- 611 CASTAÑO CLARO,5482,PZ,0.81914
2010010612,7501130510092,C,1, COLORANTE MARIPOSA PASTILLA 32 GRS --- 612 AMARILLO,5449,PZ,0.94588
